service,t,x,v,a,P
E500,2364,1.4930777216,47.1002670135,-0.481045407375,6.29371309249
E501,2364,3.76183054594,28.1869846777,-0.329701824295,2.58147229712
E502,2364,5.64928503789,29.216616258,-0.335983684474,2.72675177173
E503,2364,7.71475169769,5.97274572634,-1.1,0.0
E504,2364,10.0199753838,28.228369343,-0.329949968405,2.58720821468
E505,2364,3.7996349263,27.9306534514,-1.1,0.0
E506,2364,5.36133232684,18.8317046087,1.06714706204,1009851.63925
E507,2364,0.236631140614,14.7857845154,-0.268493501071,1.10274640295
E500,2365,1.50592443745,45.6375124809,0.637091000343,2000502.67947
E501,2365,3.76953706717,28.2006450774,1.02036191234,1512262.1745
E502,2365,5.65723318349,28.0203784191,-0.328706529528,2.55846704062
E503,2365,7.71585804372,2.01274572634,-1.1,0.0
E504,2365,10.0276823676,28.070733483,1.02113820846,1505295.6473
E505,2365,3.80684069115,23.9706534514,-1.1,0.0
E506,2365,5.36676496925,19.2605035178,-0.284686219329,1.52311109135
E507,2365,0.240603889134,13.8245643193,-0.265570394492,1.01983194443
E500,2366,1.51890907165,47.79827178,0.565705813106,2000426.16078
E501,2366,3.77769943488,29.3446165537,-0.33678037302,2.74519191919
E502,2366,5.66495369579,28.7130708758,1.01726489138,1539741.07956
E504,2366,10.0358325424,29.3857896691,-0.337037379543,2.75114154052
E505,2366,3.812946456,20.0106534514,-1.1,0.0
E506,2366,5.37197275214,18.2430533136,-0.280630540654,1.42209942071
E507,2366,0.244610288629,14.5381703875,-0.267721719881,1.08116221668
E500,2367,1.53245996525,49.7221372155,0.504967109372,2000365.67494
E501,2367,3.78568274423,28.1456005461,-0.329454047444,2.57574500491
E502,2367,5.67314650881,29.1741490837,-0.335720133334,2.72065256119
E504,2367,10.0438271623,28.1858774459,-0.32969519029,2.58131895222
E505,2367,3.81795222084,16.0506534514,-1.1,0.0
E506,2367,5.37735263955,19.4766619049,-0.285576190868,1.54501969934
E507,2367,0.248518164696,13.9191122865,1.08422262997,746413.42397
E500,2368,1.54614059314,48.3839401974,-0.494073298177,6.64033692003
E501,2368,3.79339026472,28.3277944414,1.01959864821,1519080.57679
E502,2368,5.6810829876,27.9788302894,-0.328459242941,2.55275150422
E504,2368,10.0515333953,28.1997967689,1.02036699311,1512216.68384
E505,2368,3.82185798569,12.0906534514,-1.1,0.0
E506,2368,5.38262002931,18.4561152024,-0.281461617423,1.44296889895
E507,2368,0.252571097018,14.2912804473,-0.266965169914,1.0597983647
E500,2369,1.55933534301,46.637570066,-0.476435436066,6.17216417541
E501,2369,3.80156243093,29.3008708258,-0.336507702838,2.73888020354
E502,2369,5.68881118049,28.8414291752,1.01648037207,1546624.31151
E504,2369,10.05969553,29.3437870989,-0.336775199187,2.74507215143
E505,2369,3.82466375054,8.13065345142,-1.1,0.0
E506,2369,5.38792794401,19.6931401535,-0.286477432567,1.56712228621
E507,2369,0.256481829947,14.9370555009,1.08110569254,801000.716926
E500,2370,1.57211243327,46.229660638,0.617162107479,2000480.71251
E501,2370,3.80953372281,28.102805657,-0.329198206926,2.5698314533
E502,2370,5.69700759515,29.132101151,-0.33545956171,2.7146227455
E504,2370,10.0676786115,28.1447891332,-0.329449192956,2.57563279607
E505,2370,3.82636951539,4.17065345142,-1.1,0.0
E506,2370,5.39325502391,18.6694573167,-0.282303454852,1.46401452797
E507,2370,0.260516401564,14.0462845022,-0.266227230049,1.03875094875
E500,2371,1.58525209414,48.3244830729,0.548847808734,2000408.95546
E501,2371,3.81724377666,28.4569352766,1.01881991173,1526005.77209
E502,2371,5.70493252214,27.9376910126,-0.328214751316,2.54710064112
E504,2371,10.07538598,28.3279105445,1.01959794969,1519086.80284
E505,2371,3.82698719924,0.782765451421,-0.004,0.0
E506,2371,5.39849087885,19.9112368842,-0.287395484912,1.58955543875
E507,2371,0.264477548173,14.7614396038,-0.268417043517,1.10061721569
E500,2372,1.59893161784,49.7046077076,-0.507842287825,7.0116949149
E501,2372,3.82542465408,29.2592007837,-0.336248348852,2.73287720895
E502,2372,5.71267004672,28.9692106939,1.01569589931,1553476.61361
E504,2372,10.0835581781,29.3009843454,-0.336508409887,2.7388965695
E506,2372,5.40423401703,22.3882341364,1.05158400513,1200570.9114
E507,2372,0.268443571656,13.8004841851,-0.265499687217,1.0177845096
E500,2373,1.61248647,47.910463917,-0.489227246542,6.51086231741
E501,2373,3.83338449853,28.06204002,-0.328954859924,2.56420678998
E502,2373,5.72086827583,29.0896189494,-0.335196680591,2.70853991986
E504,2373,10.0915295012,28.102916711,-0.329198870335,2.56984678733
E506,2373,5.41097823284,26.1397582203,1.03225393331,1401746.84173
E507,2373,0.272455056587,14.514671321,-0.267649153355,1.07912208064
E500,2374,1.62555207484,46.1809136012,-0.471930278358,6.05393650296
E501,2374,3.84109905667,28.585182621,1.01804305474,1532883.0539
E502,2374,5.72878153151,27.8961255222,-0.327968092062,2.54139973984
E504,2374,10.0992395718,28.4568878109,1.01882019861,1526003.22673
E506,2374,5.41875438934,29.8170657505,1.01040285177,1598942.96359
E507,2374,0.276359313688,14.0176265775,1.08393060504,751696.261234
E500,2375,1.63834003079,46.8238930695,0.597448243609,2000459.44658
E501,2375,3.84928676698,29.2167859339,-0.335984738251,2.72677615959
E502,2375,5.73652997572,29.0970050264,1.01490787649,1560329.60292
E504,2375,10.1074204362,29.2591543754,-0.336248060213,2.73287052838
E506,2375,5.42754064306,33.4115014218,0.986266114934,1791695.13955
E507,2375,0.28041458625,14.2681968297,-0.266895096561,1.05780882517
E500,2376,1.65163538426,48.8533367774,0.532095309443,2000392.17766
E501,2376,3.85723495919,28.0205444203,-0.328707518272,2.55848989362
E502,2376,5.74472839539,29.0472791951,-0.334935062647,2.70248674359
E504,2376,10.1153802679,28.0619946182,-0.328954589099,2.56420053025
E506,2376,5.43731286739,36.9152868022,0.960094579588,1979586.25296
E507,2376,0.284328068495,14.9860032671,-0.269127085481,1.12031649508
E500,2377,1.66538043853,49.2169256485,-0.502714635207,6.87279689539
E501,2377,3.86495553794,28.7134273577,1.01726271743,1539760.19595
E502,2377,5.75263001872,27.8546980754,-0.327722617416,2.53572626684
E503,2377,7.71655552986,3.97509959103,1.10308782976,213164.988208
E504,2377,10.1230947719,28.5847111376,1.01804591714,1532857.77053
E506,2377,5.44803137442,40.1623376279,0.837617253222,2000751.09038
E507,2377,0.288356123065,14.0225885572,-0.266156533288,1.03672321059
E500,2378,1.67880233685,47.4405702591,-0.484464988,6.3842486948
E501,2378,3.87314844887,29.1744976125,-0.335722294742,2.72070257956
E502,2378,5.76039089245,29.2236707265,1.01412338747,1567122.06925
E503,2378,7.71821331956,7.93816552656,1.09808801263,425684.681839
E504,2378,10.1312823527,29.2163249623,-0.335981875389,2.72670990355
E506,2378,5.45958933921,42.9768190736,0.730534739412,2000612.12766
E507,2378,0.292322311197,14.7375673623,-0.268342192748,1.09853087272
E500,2379,1.69173975103,45.7275518107,-0.467501482896,5.93824952243
E501,2379,3.88108502342,27.979171281,-0.328461270965,2.55279837763
E502,2379,5.76858756669,29.0039662001,-0.334667825341,2.69630397068
E503,2379,7.72096889074,11.8772793223,1.08981080743,636919.962085
E504,2379,10.1392304183,28.020093432,-0.328704832089,2.55842780742
E506,2379,5.47187902406,45.4445241703,0.643649715638,2000510.01301
E507,2379,0.296281740151,13.776871147,-0.265430471167,1.0157781666
E500,2380,1.70461171642,47.3805386964,0.579228420471,2000440.19788
E501,2380,3.88881320434,28.8408612075,1.01648385117,1546593.85417
E502,2380,5.77647729009,27.8123169852,-0.32747186955,2.52993095546
E503,2380,7.72481395829,15.7808101534,1.078355192,846247.135247
E504,2380,10.1469507939,28.7122482807,1.01726990774,1539696.96778
E506,2380,5.48481315994,47.6269487647,0.571236519731,2000431.8764
E507,2380,0.300298035134,14.4899275372,-0.26757286992,1.07697541557
E500,2381,1.71805301907,49.3494270875,0.516546785646,2000376.88763
E501,2381,3.89700946301,29.1315458604,-0.335456123082,2.71454317603
